Geography,Geography code,Week,CauseOfDeath,PlaceOfDeath,RegistrationOrOccurrence,death2020
Havering,E09000016,Week 31,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 31,COVID 19,Hospice,Registrations,1
Havering,E09000016,Week 31,COVID 19,Hospital,Occurrences,0
Havering,E09000016,Week 31,COVID 19,Hospital,Registrations,0
Havering,E09000016,Week 31,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 31,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 32,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 32,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 32,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 32,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 32,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 32,COVID 19,Home,Registrations,0
Havering,E09000016,Week 32,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 32,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 32,COVID 19,Hospital,Occurrences,0
Havering,E09000016,Week 32,COVID 19,Hospital,Registrations,0
Havering,E09000016,Week 32,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 32,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 33,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 33,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 33,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 33,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 33,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 33,COVID 19,Home,Registrations,0
Havering,E09000016,Week 33,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 33,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 33,COVID 19,Hospital,Occurrences,0
Havering,E09000016,Week 33,COVID 19,Hospital,Registrations,0
Havering,E09000016,Week 33,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 33,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 34,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 34,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 34,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 34,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 34,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 34,COVID 19,Home,Registrations,0
Havering,E09000016,Week 34,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 34,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 34,COVID 19,Hospital,Occurrences,0
Havering,E09000016,Week 34,COVID 19,Hospital,Registrations,0
Havering,E09000016,Week 34,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 34,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 35,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 35,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 35,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 35,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 35,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 35,COVID 19,Home,Registrations,0
Havering,E09000016,Week 35,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 35,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 35,COVID 19,Hospital,Occurrences,0
Havering,E09000016,Week 35,COVID 19,Hospital,Registrations,0
Havering,E09000016,Week 35,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 35,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 36,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 36,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 36,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 36,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 36,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 36,COVID 19,Home,Registrations,0
Havering,E09000016,Week 36,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 36,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 36,COVID 19,Hospital,Occurrences,1
Havering,E09000016,Week 36,COVID 19,Hospital,Registrations,0
Havering,E09000016,Week 36,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 36,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 37,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 37,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 37,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 37,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 37,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 37,COVID 19,Home,Registrations,0
Havering,E09000016,Week 37,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 37,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 37,COVID 19,Hospital,Occurrences,0
Havering,E09000016,Week 37,COVID 19,Hospital,Registrations,1
Havering,E09000016,Week 37,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 37,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 38,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 38,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 38,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 38,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 38,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 38,COVID 19,Home,Registrations,0
Havering,E09000016,Week 38,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 38,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 38,COVID 19,Hospital,Occurrences,1
Havering,E09000016,Week 38,COVID 19,Hospital,Registrations,0
Havering,E09000016,Week 38,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 38,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 39,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 39,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 39,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 39,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 39,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 39,COVID 19,Home,Registrations,0
Havering,E09000016,Week 39,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 39,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 39,COVID 19,Hospital,Occurrences,3
Havering,E09000016,Week 39,COVID 19,Hospital,Registrations,3
Havering,E09000016,Week 39,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 39,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 4,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 4,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 4,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 4,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 4,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 4,COVID 19,Home,Registrations,0
Havering,E09000016,Week 4,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 4,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 4,COVID 19,Hospital,Occurrences,0
Havering,E09000016,Week 4,COVID 19,Hospital,Registrations,0
Havering,E09000016,Week 4,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 4,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 40,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 40,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 40,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 40,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 40,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 40,COVID 19,Home,Registrations,0
Havering,E09000016,Week 40,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 40,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 40,COVID 19,Hospital,Occurrences,2
Havering,E09000016,Week 40,COVID 19,Hospital,Registrations,0
Havering,E09000016,Week 40,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 40,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 41,COVID 19,Care home,Occurrences,1
Havering,E09000016,Week 41,COVID 19,Care home,Registrations,1
Havering,E09000016,Week 41,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 41,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 41,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 41,COVID 19,Home,Registrations,0
Havering,E09000016,Week 41,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 41,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 41,COVID 19,Hospital,Occurrences,3
Havering,E09000016,Week 41,COVID 19,Hospital,Registrations,4
Havering,E09000016,Week 41,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 41,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 42,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 42,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 42,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 42,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 42,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 42,COVID 19,Home,Registrations,0
Havering,E09000016,Week 42,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 42,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 42,COVID 19,Hospital,Occurrences,2
Havering,E09000016,Week 42,COVID 19,Hospital,Registrations,3
Havering,E09000016,Week 42,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 42,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 43,COVID 19,Care home,Occurrences,1
Havering,E09000016,Week 43,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 43,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 43,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 43,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 43,COVID 19,Home,Registrations,0
Havering,E09000016,Week 43,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 43,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 43,COVID 19,Hospital,Occurrences,6
Havering,E09000016,Week 43,COVID 19,Hospital,Registrations,4
Havering,E09000016,Week 43,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 43,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 44,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 44,COVID 19,Care home,Registrations,1
Havering,E09000016,Week 44,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 44,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 44,COVID 19,Home,Occurrences,1
Havering,E09000016,Week 44,COVID 19,Home,Registrations,1
Havering,E09000016,Week 44,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 44,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 44,COVID 19,Hospital,Occurrences,16
Havering,E09000016,Week 44,COVID 19,Hospital,Registrations,9
Havering,E09000016,Week 44,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 44,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 45,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 45,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 45,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 45,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 45,COVID 19,Home,Occurrences,1
Havering,E09000016,Week 45,COVID 19,Home,Registrations,0
Havering,E09000016,Week 45,COVID 19,Hospice,Occurrences,1
Havering,E09000016,Week 45,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 45,COVID 19,Hospital,Occurrences,18
Havering,E09000016,Week 45,COVID 19,Hospital,Registrations,14
Havering,E09000016,Week 45,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 45,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 46,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 46,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 46,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 46,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 46,COVID 19,Home,Occurrences,1
Havering,E09000016,Week 46,COVID 19,Home,Registrations,0
Havering,E09000016,Week 46,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 46,COVID 19,Hospice,Registrations,1
Havering,E09000016,Week 46,COVID 19,Hospital,Occurrences,17
Havering,E09000016,Week 46,COVID 19,Hospital,Registrations,24
Havering,E09000016,Week 46,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 46,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 47,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 47,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 47,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 47,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 47,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 47,COVID 19,Home,Registrations,1
Havering,E09000016,Week 47,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 47,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 47,COVID 19,Hospital,Occurrences,16
Havering,E09000016,Week 47,COVID 19,Hospital,Registrations,16
Havering,E09000016,Week 47,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 47,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 48,COVID 19,Care home,Occurrences,1
Havering,E09000016,Week 48,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 48,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 48,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 48,COVID 19,Home,Occurrences,1
Havering,E09000016,Week 48,COVID 19,Home,Registrations,1
Havering,E09000016,Week 48,COVID 19,Hospice,Occurrences,2
Havering,E09000016,Week 48,COVID 19,Hospice,Registrations,1
Havering,E09000016,Week 48,COVID 19,Hospital,Occurrences,23
Havering,E09000016,Week 48,COVID 19,Hospital,Registrations,18
Havering,E09000016,Week 48,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 48,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 49,COVID 19,Care home,Occurrences,3
Havering,E09000016,Week 49,COVID 19,Care home,Registrations,2
Havering,E09000016,Week 49,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 49,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 49,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 49,COVID 19,Home,Registrations,1
Havering,E09000016,Week 49,COVID 19,Hospice,Occurrences,1
Havering,E09000016,Week 49,COVID 19,Hospice,Registrations,2
Havering,E09000016,Week 49,COVID 19,Hospital,Occurrences,22
Havering,E09000016,Week 49,COVID 19,Hospital,Registrations,22
Havering,E09000016,Week 49,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 49,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 5,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 5,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 5,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 5,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 5,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 5,COVID 19,Home,Registrations,0
Havering,E09000016,Week 5,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 5,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 5,COVID 19,Hospital,Occurrences,0
Havering,E09000016,Week 5,COVID 19,Hospital,Registrations,0
Havering,E09000016,Week 5,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 5,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 50,COVID 19,Care home,Occurrences,1
Havering,E09000016,Week 50,COVID 19,Care home,Registrations,2
Havering,E09000016,Week 50,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 50,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 50,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 50,COVID 19,Home,Registrations,0
Havering,E09000016,Week 50,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 50,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 50,COVID 19,Hospital,Occurrences,30
Havering,E09000016,Week 50,COVID 19,Hospital,Registrations,21
Havering,E09000016,Week 50,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 50,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 51,COVID 19,Care home,Occurrences,1
Havering,E09000016,Week 51,COVID 19,Care home,Registrations,2
Havering,E09000016,Week 51,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 51,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 51,COVID 19,Home,Occurrences,1
Havering,E09000016,Week 51,COVID 19,Home,Registrations,0
Havering,E09000016,Week 51,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 51,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 51,COVID 19,Hospital,Occurrences,45
Havering,E09000016,Week 51,COVID 19,Hospital,Registrations,34
Havering,E09000016,Week 51,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 51,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 52,COVID 19,Care home,Occurrences,5
Havering,E09000016,Week 52,COVID 19,Care home,Registrations,1
Havering,E09000016,Week 52,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 52,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 52,COVID 19,Home,Occurrences,4
Havering,E09000016,Week 52,COVID 19,Home,Registrations,1
Havering,E09000016,Week 52,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 52,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 52,COVID 19,Hospital,Occurrences,37
Havering,E09000016,Week 52,COVID 19,Hospital,Registrations,40
Havering,E09000016,Week 52,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 52,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 53,COVID 19,Care home,Occurrences,6
Havering,E09000016,Week 53,COVID 19,Care home,Registrations,2
Havering,E09000016,Week 53,COVID 19,Elsewhere,Occurrences,2
Havering,E09000016,Week 53,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 53,COVID 19,Home,Occurrences,6
Havering,E09000016,Week 53,COVID 19,Home,Registrations,1
Havering,E09000016,Week 53,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 53,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 53,COVID 19,Hospital,Occurrences,48
Havering,E09000016,Week 53,COVID 19,Hospital,Registrations,18
Havering,E09000016,Week 53,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 53,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 6,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 6,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 6,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 6,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 6,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 6,COVID 19,Home,Registrations,0
Havering,E09000016,Week 6,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 6,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 6,COVID 19,Hospital,Occurrences,0
Havering,E09000016,Week 6,COVID 19,Hospital,Registrations,0
Havering,E09000016,Week 6,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 6,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 7,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 7,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 7,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 7,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 7,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 7,COVID 19,Home,Registrations,0
Havering,E09000016,Week 7,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 7,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 7,COVID 19,Hospital,Occurrences,0
Havering,E09000016,Week 7,COVID 19,Hospital,Registrations,0
Havering,E09000016,Week 7,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 7,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 8,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 8,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 8,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 8,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 8,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 8,COVID 19,Home,Registrations,0
Havering,E09000016,Week 8,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 8,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 8,COVID 19,Hospital,Occurrences,0
Havering,E09000016,Week 8,COVID 19,Hospital,Registrations,0
Havering,E09000016,Week 8,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 8,COVID 19,Other communal establishment,Registrations,0
Havering,E09000016,Week 9,COVID 19,Care home,Occurrences,0
Havering,E09000016,Week 9,COVID 19,Care home,Registrations,0
Havering,E09000016,Week 9,COVID 19,Elsewhere,Occurrences,0
Havering,E09000016,Week 9,COVID 19,Elsewhere,Registrations,0
Havering,E09000016,Week 9,COVID 19,Home,Occurrences,0
Havering,E09000016,Week 9,COVID 19,Home,Registrations,0
Havering,E09000016,Week 9,COVID 19,Hospice,Occurrences,0
Havering,E09000016,Week 9,COVID 19,Hospice,Registrations,0
Havering,E09000016,Week 9,COVID 19,Hospital,Occurrences,0
Havering,E09000016,Week 9,COVID 19,Hospital,Registrations,0
Havering,E09000016,Week 9,COVID 19,Other communal establishment,Occurrences,0
Havering,E09000016,Week 9,COVID 19,Other communal establishment,Registrations,0
Hillingdon,E09000017,Week 1,COVID 19,Care home,Occurrences,0
Hillingdon,E09000017,Week 1,COVID 19,Care home,Registrations,0
Hillingdon,E09000017,Week 1,COVID 19,Elsewhere,Occurrences,0
Hillingdon,E09000017,Week 1,COVID 19,Elsewhere,Registrations,0
Hillingdon,E09000017,Week 1,COVID 19,Home,Occurrences,0
Hillingdon,E09000017,Week 1,COVID 19,Home,Registrations,0
Hillingdon,E09000017,Week 1,COVID 19,Hospice,Occurrences,0
Hillingdon,E09000017,Week 1,COVID 19,Hospice,Registrations,0
Hillingdon,E09000017,Week 1,COVID 19,Hospital,Occurrences,0
Hillingdon,E09000017,Week 1,COVID 19,Hospital,Registrations,0
Hillingdon,E09000017,Week 1,COVID 19,Other communal establishment,Occurrences,0
Hillingdon,E09000017,Week 1,COVID 19,Other communal establishment,Registrations,0
Hillingdon,E09000017,Week 10,COVID 19,Care home,Occurrences,0
Hillingdon,E09000017,Week 10,COVID 19,Care home,Registrations,0
Hillingdon,E09000017,Week 10,COVID 19,Elsewhere,Occurrences,0
Hillingdon,E09000017,Week 10,COVID 19,Elsewhere,Registrations,0
Hillingdon,E09000017,Week 10,COVID 19,Home,Occurrences,0
Hillingdon,E09000017,Week 10,COVID 19,Home,Registrations,0
Hillingdon,E09000017,Week 10,COVID 19,Hospice,Occurrences,0
Hillingdon,E09000017,Week 10,COVID 19,Hospice,Registrations,0
Hillingdon,E09000017,Week 10,COVID 19,Hospital,Occurrences,0
Hillingdon,E09000017,Week 10,COVID 19,Hospital,Registrations,0
Hillingdon,E09000017,Week 10,COVID 19,Other communal establishment,Occurrences,0
Hillingdon,E09000017,Week 10,COVID 19,Other communal establishment,Registrations,0
Hillingdon,E09000017,Week 11,COVID 19,Care home,Occurrences,0
Hillingdon,E09000017,Week 11,COVID 19,Care home,Registrations,0
Hillingdon,E09000017,Week 11,COVID 19,Elsewhere,Occurrences,0
Hillingdon,E09000017,Week 11,COVID 19,Elsewhere,Registrations,0
Hillingdon,E09000017,Week 11,COVID 19,Home,Occurrences,0
Hillingdon,E09000017,Week 11,COVID 19,Home,Registrations,0
Hillingdon,E09000017,Week 11,COVID 19,Hospice,Occurrences,0
Hillingdon,E09000017,Week 11,COVID 19,Hospice,Registrations,0
Hillingdon,E09000017,Week 11,COVID 19,Hospital,Occurrences,0
Hillingdon,E09000017,Week 11,COVID 19,Hospital,Registrations,0
Hillingdon,E09000017,Week 11,COVID 19,Other communal establishment,Occurrences,0
Hillingdon,E09000017,Week 11,COVID 19,Other communal establishment,Registrations,0
Hillingdon,E09000017,Week 12,COVID 19,Care home,Occurrences,0
Hillingdon,E09000017,Week 12,COVID 19,Care home,Registrations,0
Hillingdon,E09000017,Week 12,COVID 19,Elsewhere,Occurrences,0
Hillingdon,E09000017,Week 12,COVID 19,Elsewhere,Registrations,0
Hillingdon,E09000017,Week 12,COVID 19,Home,Occurrences,0
Hillingdon,E09000017,Week 12,COVID 19,Home,Registrations,0
Hillingdon,E09000017,Week 12,COVID 19,Hospice,Occurrences,0
Hillingdon,E09000017,Week 12,COVID 19,Hospice,Registrations,0
Hillingdon,E09000017,Week 12,COVID 19,Hospital,Occurrences,3
Hillingdon,E09000017,Week 12,COVID 19,Hospital,Registrations,0
Hillingdon,E09000017,Week 12,COVID 19,Other communal establishment,Occurrences,0
Hillingdon,E09000017,Week 12,COVID 19,Other communal establishment,Registrations,0
Hillingdon,E09000017,Week 13,COVID 19,Care home,Occurrences,0
Hillingdon,E09000017,Week 13,COVID 19,Care home,Registrations,0
Hillingdon,E09000017,Week 13,COVID 19,Elsewhere,Occurrences,0
Hillingdon,E09000017,Week 13,COVID 19,Elsewhere,Registrations,0
Hillingdon,E09000017,Week 13,COVID 19,Home,Occurrences,1
Hillingdon,E09000017,Week 13,COVID 19,Home,Registrations,0
Hillingdon,E09000017,Week 13,COVID 19,Hospice,Occurrences,0
Hillingdon,E09000017,Week 13,COVID 19,Hospice,Registrations,0
Hillingdon,E09000017,Week 13,COVID 19,Hospital,Occurrences,17
Hillingdon,E09000017,Week 13,COVID 19,Hospital,Registrations,10
Hillingdon,E09000017,Week 13,COVID 19,Other communal establishment,Occurrences,0
Hillingdon,E09000017,Week 13,COVID 19,Other communal establishment,Registrations,0
Hillingdon,E09000017,Week 14,COVID 19,Care home,Occurrences,3
Hillingdon,E09000017,Week 14,COVID 19,Care home,Registrations,0
Hillingdon,E09000017,Week 14,COVID 19,Elsewhere,Occurrences,1
Hillingdon,E09000017,Week 14,COVID 19,Elsewhere,Registrations,0
Hillingdon,E09000017,Week 14,COVID 19,Home,Occurrences,2
Hillingdon,E09000017,Week 14,COVID 19,Home,Registrations,2
Hillingdon,E09000017,Week 14,COVID 19,Hospice,Occurrences,1
Hillingdon,E09000017,Week 14,COVID 19,Hospice,Registrations,1
Hillingdon,E09000017,Week 14,COVID 19,Hospital,Occurrences,52
Hillingdon,E09000017,Week 14,COVID 19,Hospital,Registrations,36
Hillingdon,E09000017,Week 14,COVID 19,Other communal establishment,Occurrences,1
Hillingdon,E09000017,Week 14,COVID 19,Other communal establishment,Registrations,1
Hillingdon,E09000017,Week 15,COVID 19,Care home,Occurrences,12
Hillingdon,E09000017,Week 15,COVID 19,Care home,Registrations,4
Hillingdon,E09000017,Week 15,COVID 19,Elsewhere,Occurrences,0
